supplier,item_category,order_status,compliance,quantity,order_date,delivery_date,delivery_lead_time,unit_price,negotiated_price,actual_spend,savings_per_unit,total_savings,savings_percentage,defective_units,defect_rate
Beta_Supplies,Raw Materials,Delivered,Yes,692,2023-01-18,2023-01-27,9.0,71.03,67.74,46876.079999999994,3.29,2276.68,4.63,70.0,10.115606936416185
Gamma_Co,MRO,Delivered,Yes,1842,2022-06-15,2022-06-28,13.0,32.4,28.08,51723.35999999999,4.32,7957.44,13.33,96.0,5.211726384364821
Beta_Supplies,Office Supplies,Cancelled,Yes,1078,2023-07-07,2023-07-18,11.0,18.34,17.41,18767.98,0.93,1002.54,5.07,102.0,
Delta_Logistics,Packaging,Delivered,Yes,1291,2023-06-28,2023-07-16,18.0,23.44,22.23,28698.93,1.21,1562.11,5.16,,
Alpha_Inc,Electronics,Delivered,Yes,552,2022-01-01,2022-01-12,11.0,21.52,18.79,10372.08,2.73,1506.96,12.690000000000001,13.0,2.355072463768116
Epsilon_Group,Electronics,Delivered,Yes,816,2023-09-06,2023-09-22,16.0,26.04,25.61,20897.76,0.43,350.88,1.6500000000000001,28.0,3.431372549019608
Delta_Logistics,Packaging,Delivered,Yes,447,2022-11-28,2022-11-30,2.0,23.62,21.81,9749.07,1.81,809.07,7.66,50.0,11.185682326621924
Delta_Logistics,Packaging,Partially Delivered,Yes,920,2023-05-16,2023-05-24,8.0,73.09,70.14,64528.8,2.95,2714.0,4.04,,
Epsilon_Group,Packaging,Partially Delivered,Yes,844,2022-01-20,2022-01-30,10.0,26.37,25.08,21167.519999999997,1.29,1088.76,4.89,38.0,
Epsilon_Group,MRO,Delivered,Yes,442,2022-04-25,,,41.73,36.45,16110.900000000001,5.28,2333.76,12.65,15.0,
Beta_Supplies,Electronics,Cancelled,Yes,256,2023-01-07,2023-01-21,14.0,96.15,83.44,21360.64,12.71,3253.76,13.22,26.0,
Delta_Logistics,MRO,Partially Delivered,No,1088,2022-11-11,,,55.29,53.04,57707.52,2.25,2448.0,4.07,161.0,
Beta_Supplies,Office Supplies,Delivered,Yes,1931,2022-09-03,2022-09-07,4.0,72.88,64.69,124916.39,8.19,15814.89,11.24,187.0,9.684101501812533
Gamma_Co,Electronics,Delivered,Yes,1627,2022-03-01,2022-03-11,10.0,25.76,25.09,40821.43,0.67,1090.09,2.6,74.0,4.548248309772587
Beta_Supplies,Packaging,Delivered,No,941,2022-09-04,,,28.4,27.21,25604.61,1.19,1119.79,4.19,,
Gamma_Co,MRO,Delivered,Yes,1534,2023-08-04,2023-08-06,2.0,14.98,12.79,19619.859999999997,2.19,3359.46,14.62,,
Alpha_Inc,Raw Materials,Delivered,Yes,1764,2022-03-22,2022-04-03,12.0,25.46,24.52,43253.28,0.94,1658.16,3.6900000000000004,46.0,2.6077097505668934
Delta_Logistics,Electronics,Delivered,No,1648,2022-03-29,2022-04-06,8.0,35.42,31.46,51846.08,3.96,6526.08,11.18,,
Gamma_Co,Packaging,Delivered,Yes,913,2023-05-13,2023-06-01,19.0,28.01,24.06,21966.78,3.95,3606.35,14.099999999999998,53.0,5.805038335158817
Alpha_Inc,Packaging,Cancelled,Yes,792,2022-03-12,2022-03-18,6.0,18.16,17.25,13662.0,0.91,720.72,5.01,17.0,
Epsilon_Group,Office Supplies,Partially Delivered,Yes,1314,2023-06-30,2023-07-03,3.0,22.63,21.06,27672.839999999997,1.57,2062.98,6.94,44.0,
Beta_Supplies,MRO,Delivered,Yes,613,2022-05-09,2022-05-22,13.0,52.5,45.19,27701.469999999998,7.31,4481.03,13.919999999999998,70.0,11.419249592169658
Alpha_Inc,Office Supplies,Delivered,Yes,1070,2022-05-12,2022-05-20,8.0,29.14,26.63,28494.1,2.51,2685.7,8.61,24.0,2.2429906542056073
Gamma_Co,Raw Materials,Partially Delivered,Yes,145,2023-11-07,2023-11-26,19.0,47.49,42.76,6200.2,4.73,685.85,9.959999999999999,6.0,
Delta_Logistics,Raw Materials,Delivered,Yes,1973,2023-05-02,2023-05-17,15.0,59.73,54.95,108416.35,4.78,9430.94,8.0,291.0,14.749113025848962
Epsilon_Group,Office Supplies,Delivered,Yes,1807,2023-07-17,2023-08-01,15.0,78.63,73.08,132055.56,5.55,10028.85,7.06,100.0,5.534034311012729
Epsilon_Group,Electronics,Delivered,Yes,534,2022-06-19,2022-06-20,1.0,13.88,12.51,6680.34,1.37,731.58,9.87,100.0,18.726591760299627
Alpha_Inc,Electronics,Delivered,Yes,1480,2022-09-29,2022-10-14,15.0,85.22,75.48,111710.40000000001,9.74,14415.2,11.43,100.0,6.756756756756757
Alpha_Inc,Office Supplies,Delivered,Yes,280,2023-06-25,,,72.16,62.38,17466.4,9.78,2738.4,13.55,100.0,
Beta_Supplies,Office Supplies,Cancelled,Yes,798,2023-09-14,2023-09-20,6.0,19.09,17.76,14172.480000000001,1.33,1061.34,6.97,100.0,
Epsilon_Group,Electronics,Delivered,Yes,1728,2023-03-10,2023-03-22,12.0,94.83,90.2,155865.6,4.63,8000.64,4.88,100.0,5.787037037037037
Epsilon_Group,MRO,Delivered,Yes,1244,2022-08-05,,,96.13,84.78,105466.32,11.35,14119.4,11.81,43.0,
Beta_Supplies,Office Supplies,Delivered,No,590,2023-07-07,2023-07-21,14.0,16.89,15.56,9180.4,1.33,784.7,7.870000000000001,46.0,7.796610169491526
Delta_Logistics,Packaging,Delivered,Yes,1109,2023-12-08,2023-12-23,15.0,38.93,33.33,36962.97,5.6,6210.4,14.38,152.0,13.706041478809738
Beta_Supplies,MRO,Delivered,Yes,574,2022-07-25,2022-08-01,7.0,85.03,82.55,47383.7,2.48,1423.52,2.92,54.0,9.40766550522648
Gamma_Co,Office Supplies,Delivered,Yes,1233,2024-01-01,,,86.62,76.59,94435.47,10.03,12366.99,11.58,65.0,
Gamma_Co,Packaging,Delivered,No,1912,2022-11-16,2022-11-20,4.0,27.94,25.59,48928.08,2.35,4493.2,8.41,83.0,4.341004184100418
Alpha_Inc,Packaging,Delivered,No,1772,2023-02-13,2023-03-04,19.0,30.72,27.76,49190.72,2.96,5245.12,9.64,46.0,2.595936794582393
Beta_Supplies,Office Supplies,Delivered,Yes,1316,2023-11-19,2023-11-29,10.0,48.11,41.9,55140.4,6.21,8172.36,12.91,135.0,10.25835866261398
Beta_Supplies,Office Supplies,Delivered,Yes,1159,2023-10-28,,,59.24,58.08,67314.72,1.16,1344.44,1.96,,
Alpha_Inc,Office Supplies,Delivered,Yes,1869,2023-01-18,2023-01-31,13.0,69.58,67.5,126157.5,2.08,3887.52,2.9899999999999998,31.0,1.6586409844836811
Delta_Logistics,Packaging,Delivered,Yes,627,2023-03-25,2023-04-13,19.0,46.23,42.87,26879.489999999998,3.36,2106.72,7.2700000000000005,,
Beta_Supplies,Raw Materials,Pending,No,731,2023-06-14,2023-06-16,2.0,56.02,54.78,40044.18,1.24,906.44,2.21,70.0,
Epsilon_Group,Office Supplies,Cancelled,Yes,606,2023-04-08,,,83.07,79.22,48007.32,3.85,2333.1,4.63,16.0,
Beta_Supplies,Office Supplies,Delivered,Yes,1647,2022-05-04,2022-05-14,10.0,13.57,12.33,20307.51,1.24,2042.28,9.139999999999999,157.0,9.532483302975105
Delta_Logistics,MRO,Delivered,Yes,1062,2022-09-11,2022-09-19,8.0,34.03,30.46,32348.52,3.57,3791.34,10.489999999999998,,
Beta_Supplies,Office Supplies,Delivered,No,695,2022-08-19,2022-08-31,12.0,76.8,69.76,48483.200000000004,7.04,4892.8,9.17,,
Epsilon_Group,MRO,Delivered,Yes,845,2022-03-07,2022-03-14,7.0,91.47,86.97,73489.65,4.5,3802.5,4.92,,
Gamma_Co,MRO,Delivered,Yes,1101,2022-12-13,2022-12-18,5.0,59.13,52.51,57813.509999999995,6.62,7288.62,11.200000000000001,54.0,4.904632152588556
Gamma_Co,Raw Materials,Delivered,Yes,1693,2022-01-22,2022-01-24,2.0,57.89,49.84,84379.12000000001,8.05,13628.65,13.91,88.0,5.197873597164796
Delta_Logistics,Office Supplies,Cancelled,No,1629,2023-08-26,2023-09-10,15.0,21.51,19.41,31618.89,2.1,3420.9,9.76,250.0,
Delta_Logistics,Raw Materials,Delivered,Yes,1413,2023-07-22,2023-08-03,12.0,54.79,50.42,71243.46,4.37,6174.81,7.9799999999999995,,
Epsilon_Group,Packaging,Delivered,Yes,1871,2022-08-24,2022-08-27,3.0,59.96,58.54,109528.34,1.42,2656.82,2.37,47.0,2.512025654730091
Gamma_Co,Raw Materials,Delivered,Yes,1404,2023-08-26,,,34.85,30.5,42822.0,4.35,6107.4,12.479999999999999,78.0,
Gamma_Co,Electronics,Delivered,Yes,1713,2022-08-14,2022-08-28,14.0,35.43,34.11,58430.43,1.32,2261.16,3.73,74.0,4.3199065966141275
Gamma_Co,Electronics,Delivered,Yes,1579,2022-01-08,2022-01-13,5.0,43.96,43.41,68544.39,0.55,868.45,1.25,74.0,4.686510449651679
Gamma_Co,Electronics,Delivered,Yes,1421,2022-03-14,2022-03-26,12.0,11.92,11.72,16654.120000000003,0.2,284.2,1.68,76.0,5.348346235045742
Epsilon_Group,MRO,Delivered,Yes,1546,2023-12-26,2024-01-04,9.0,43.47,37.37,57774.02,6.1,9430.6,14.030000000000001,53.0,3.428201811125485
Delta_Logistics,Electronics,Delivered,Yes,1304,2023-10-09,2023-10-18,9.0,32.08,29.36,38285.44,2.72,3546.88,8.48,,
Delta_Logistics,Raw Materials,Delivered,Yes,239,2022-03-02,,,39.87,35.47,8477.33,4.4,1051.6,11.04,32.0,
Alpha_Inc,Office Supplies,Delivered,Yes,1298,2022-08-23,,,21.51,20.83,27037.339999999997,0.68,882.64,3.16,,
Delta_Logistics,MRO,Delivered,Yes,1458,2022-03-11,,,91.05,81.56,118914.48000000001,9.49,13836.42,10.42,220.0,
Gamma_Co,MRO,Delivered,Yes,1450,2022-02-02,2022-02-13,11.0,63.74,59.11,85709.5,4.63,6713.5,7.26,71.0,4.8965517241379315
Beta_Supplies,Electronics,Delivered,Yes,1356,2022-12-05,2022-12-20,15.0,75.03,63.86,86594.16,11.17,15146.52,14.89,131.0,9.660766961651918
Gamma_Co,Packaging,Delivered,Yes,682,2022-03-14,,,81.84,71.86,49008.52,9.98,6806.36,12.19,40.0,
Gamma_Co,Packaging,Delivered,Yes,677,2023-06-11,2023-06-19,8.0,59.52,55.29,37431.33,4.23,2863.71,7.109999999999999,39.0,5.760709010339734
Delta_Logistics,Office Supplies,Delivered,Yes,1022,2022-09-01,2022-09-14,13.0,18.54,16.55,16914.100000000002,1.99,2033.78,10.73,150.0,14.677103718199607
Alpha_Inc,Raw Materials,Delivered,Yes,1818,2022-10-13,,,60.96,57.13,103862.34000000001,3.83,6962.94,6.279999999999999,41.0,
Epsilon_Group,Electronics,Delivered,Yes,1332,2023-11-17,2023-11-29,12.0,69.73,63.8,84981.59999999999,5.93,7898.76,8.5,41.0,3.078078078078078
Beta_Supplies,Raw Materials,Delivered,Yes,1432,2023-05-13,2023-05-26,13.0,83.26,77.67,111223.44,5.59,8004.88,6.710000000000001,174.0,12.150837988826815
Beta_Supplies,Packaging,Pending,No,759,2022-08-08,2022-08-26,18.0,50.56,46.47,35270.729999999996,4.09,3104.31,8.09,63.0,
Alpha_Inc,Packaging,Delivered,Yes,1529,2023-07-07,2023-07-19,12.0,23.42,22.44,34310.76,0.98,1498.42,4.18,30.0,1.962066710268149
Gamma_Co,Electronics,Delivered,Yes,1484,2022-05-16,2022-05-25,9.0,36.25,31.8,47191.200000000004,4.45,6603.8,12.280000000000001,61.0,4.110512129380054
Epsilon_Group,Packaging,Delivered,Yes,698,2023-08-08,2023-08-20,12.0,46.73,45.61,31835.78,1.12,781.76,2.4,15.0,2.148997134670487
Epsilon_Group,Packaging,Pending,Yes,367,2023-08-14,2023-08-22,8.0,74.61,71.36,26189.12,3.25,1192.75,4.36,13.0,
Epsilon_Group,Office Supplies,Partially Delivered,Yes,1750,2023-04-30,2023-05-20,20.0,65.97,58.34,102095.0,7.63,13352.5,11.57,50.0,
Delta_Logistics,Office Supplies,Partially Delivered,No,1298,2022-09-06,2022-09-24,18.0,43.73,37.21,48298.58,6.52,8462.96,14.91,,
Gamma_Co,Packaging,Delivered,Yes,1892,2023-04-30,2023-05-20,20.0,106.2,96.37,182332.04,9.83,18598.36,9.26,93.0,4.915433403805497
Beta_Supplies,Electronics,Delivered,Yes,1307,2023-02-21,2023-02-24,3.0,68.71,60.64,79256.48,8.07,10547.49,11.75,141.0,10.788064269319051
Beta_Supplies,Electronics,Delivered,Yes,733,2022-07-14,2022-07-29,15.0,32.29,29.01,21264.33,3.28,2404.24,10.16,78.0,10.641200545702592
Gamma_Co,Packaging,Delivered,Yes,713,2022-04-07,,,19.45,18.82,13418.66,0.63,449.19,3.2399999999999998,31.0,
Beta_Supplies,Packaging,Delivered,Yes,1900,2022-04-10,2022-04-24,14.0,24.11,23.45,44555.0,0.66,1254.0,2.74,188.0,9.894736842105264
Delta_Logistics,MRO,Cancelled,No,1447,2023-11-06,2023-11-08,2.0,35.67,35.07,50746.29,0.6,868.2,1.68,224.0,
Epsilon_Group,Office Supplies,Delivered,Yes,1745,2023-03-18,,,26.17,22.25,38826.25,3.92,6840.4,14.979999999999999,55.0,
Beta_Supplies,Office Supplies,Delivered,Yes,1681,2022-12-29,2023-01-14,16.0,28.26,26.62,44748.22,1.64,2756.84,5.800000000000001,143.0,8.506841165972636
Delta_Logistics,Electronics,Delivered,Yes,1545,2023-03-10,2023-03-18,8.0,38.15,36.96,57103.200000000004,1.19,1838.55,3.1199999999999997,214.0,13.851132686084142
Epsilon_Group,Raw Materials,Delivered,Yes,1306,2023-02-25,2023-03-02,5.0,27.27,25.96,33903.76,1.31,1710.86,4.8,39.0,2.986217457886677
Gamma_Co,Raw Materials,Delivered,Yes,1765,2023-04-24,2023-05-06,12.0,97.51,84.3,148789.5,13.21,23315.65,13.55,65.0,3.6827195467422094
Gamma_Co,Packaging,Cancelled,Yes,1186,2022-02-25,2022-03-15,18.0,17.31,16.0,18976.0,1.31,1553.66,7.57,64.0,
Delta_Logistics,Packaging,Delivered,Yes,1903,2023-11-21,2023-11-26,5.0,63.5,56.09,106739.27,7.41,14101.23,11.67,254.0,13.347346295323174
Delta_Logistics,MRO,Delivered,No,1570,2023-11-01,2023-11-05,4.0,52.1,47.87,75155.9,4.23,6641.1,8.12,,
Delta_Logistics,MRO,Delivered,No,491,2023-10-24,2023-11-13,20.0,108.75,93.35,45834.85,15.4,7561.4,14.16,,
Beta_Supplies,Electronics,Partially Delivered,Yes,613,2022-04-11,2022-04-20,9.0,20.38,20.17,12364.210000000001,0.21,128.73,1.03,58.0,
Gamma_Co,Raw Materials,Partially Delivered,Yes,1341,2022-03-04,2022-03-16,12.0,46.27,43.94,58923.53999999999,2.33,3124.53,5.04,63.0,
Beta_Supplies,MRO,Partially Delivered,Yes,1583,2023-02-17,2023-03-04,15.0,103.57,89.38,141488.53999999998,14.19,22462.77,13.700000000000001,164.0,
Beta_Supplies,Raw Materials,Cancelled,Yes,1880,2022-12-14,,,92.73,90.78,170666.4,1.95,3666.0,2.1,173.0,
Epsilon_Group,MRO,Delivered,Yes,1459,2022-04-22,2022-04-26,4.0,84.79,82.72,120688.48,2.07,3020.13,2.44,47.0,3.221384509938314
Delta_Logistics,Office Supplies,Delivered,No,1460,2022-09-12,,,34.54,31.87,46530.200000000004,2.67,3898.2,7.7299999999999995,208.0,
Beta_Supplies,Packaging,Partially Delivered,Yes,1186,2022-07-16,2022-07-28,12.0,26.14,24.78,29389.08,1.36,1612.96,5.2,112.0,
Epsilon_Group,MRO,Pending,Yes,1686,2022-07-14,2022-07-23,9.0,72.28,65.21,109944.05999999998,7.07,11920.02,9.78,53.0,
Alpha_Inc,MRO,Delivered,Yes,1698,2023-07-04,2023-07-08,4.0,102.07,100.69,170971.62,1.38,2343.24,1.35,28.0,1.6489988221436984
Epsilon_Group,Electronics,Delivered,Yes,1001,2023-04-05,,,64.62,55.7,55755.700000000004,8.92,8928.92,13.8,32.0,
Alpha_Inc,Office Supplies,Delivered,Yes,1154,2022-05-24,2022-05-27,3.0,62.67,54.11,62442.94,8.56,9878.24,13.66,25.0,2.166377816291161
Alpha_Inc,Packaging,Cancelled,No,748,2023-03-09,2023-03-29,20.0,37.66,32.71,24467.08,4.95,3702.6,13.139999999999999,,
Alpha_Inc,Office Supplies,Delivered,Yes,162,2022-07-07,,,81.63,78.76,12759.12,2.87,464.94,3.52,2.0,
Alpha_Inc,Packaging,Delivered,Yes,51,2022-10-13,2022-10-24,11.0,28.04,24.13,1230.6299999999999,3.91,199.41,13.94,0.0,0.0
Delta_Logistics,Office Supplies,Delivered,Yes,691,2023-04-19,2023-04-24,5.0,42.07,39.1,27018.100000000002,2.97,2052.27,7.06,106.0,15.340086830680175
Beta_Supplies,Office Supplies,Delivered,No,269,2022-09-13,2022-09-20,7.0,50.22,45.75,12306.75,4.47,1202.43,8.9,32.0,11.895910780669144
Beta_Supplies,Electronics,Pending,Yes,1639,2022-03-19,2022-04-06,18.0,56.24,55.4,90800.59999999999,0.84,1376.76,1.49,147.0,
Alpha_Inc,Raw Materials,Delivered,Yes,904,2023-03-30,2023-04-06,7.0,34.04,30.06,27174.239999999998,3.98,3597.92,11.690000000000001,26.0,2.8761061946902653
Beta_Supplies,Office Supplies,Delivered,Yes,1809,2023-07-18,2023-07-26,8.0,22.17,19.65,35546.85,2.52,4558.68,11.37,,
Alpha_Inc,Packaging,Delivered,Yes,1298,2022-04-11,2022-04-16,5.0,65.93,58.95,76517.1,6.98,9060.04,10.59,,
Beta_Supplies,Packaging,Delivered,Yes,434,2022-02-21,2022-03-13,20.0,36.16,34.79,15098.859999999999,1.37,594.58,3.7900000000000005,41.0,9.44700460829493
Epsilon_Group,Electronics,Delivered,Yes,1476,2023-10-30,2023-11-04,5.0,68.85,65.28,96353.28,3.57,5269.32,5.19,43.0,2.913279132791328
Delta_Logistics,Raw Materials,Partially Delivered,Yes,1711,2023-07-08,,,26.04,24.81,42449.909999999996,1.23,2104.53,4.72,290.0,
Gamma_Co,Packaging,Delivered,Yes,1203,2022-01-16,2022-01-22,6.0,53.3,47.68,57359.04,5.62,6760.86,10.54,49.0,4.073150457190358
Alpha_Inc,Electronics,Delivered,Yes,1126,2022-04-06,2022-04-07,1.0,58.8,52.22,58799.72,6.58,7409.08,11.19,,
Epsilon_Group,Packaging,Delivered,Yes,1757,2022-08-31,2022-09-12,12.0,15.18,13.06,22946.420000000002,2.12,3724.84,13.969999999999999,63.0,3.5856573705179287
Epsilon_Group,MRO,Delivered,Yes,779,2022-06-20,2022-06-28,8.0,41.3,36.28,28262.120000000003,5.02,3910.58,12.15,20.0,2.5673940949935816
Delta_Logistics,Office Supplies,Delivered,No,1745,2023-02-21,2023-02-22,1.0,23.53,22.57,39384.65,0.96,1675.2,4.08,282.0,16.16045845272206
Delta_Logistics,Raw Materials,Delivered,Yes,1783,2023-05-13,2023-05-15,2.0,16.96,15.8,28171.4,1.16,2068.28,6.84,295.0,16.545148625911384
Alpha_Inc,Office Supplies,Partially Delivered,Yes,1489,2023-05-08,2023-05-22,14.0,107.02,93.3,138923.69999999998,13.72,20429.08,12.82,,
Alpha_Inc,Office Supplies,Delivered,Yes,296,2022-08-07,2022-08-10,3.0,40.38,35.25,10434.0,5.13,1518.48,12.7,,
Epsilon_Group,MRO,Delivered,Yes,885,2023-02-15,2023-02-27,12.0,88.28,80.8,71508.0,7.48,6619.8,8.469999999999999,31.0,3.5028248587570623
Epsilon_Group,Raw Materials,Pending,Yes,1512,2022-03-02,2022-03-06,4.0,33.25,30.15,45586.799999999996,3.1,4687.2,9.32,53.0,
Delta_Logistics,Office Supplies,Delivered,No,252,2022-06-18,2022-06-26,8.0,73.12,67.64,17045.28,5.48,1380.96,7.489999999999999,,
Alpha_Inc,Electronics,Cancelled,Yes,1257,2023-01-24,,,83.13,81.89,102935.73,1.24,1558.68,1.49,30.0,
Alpha_Inc,Packaging,Delivered,Yes,172,2022-01-03,2022-01-20,17.0,63.61,55.92,9618.24,7.69,1322.68,12.09,4.0,2.3255813953488373
Epsilon_Group,Packaging,Pending,Yes,450,2023-02-04,2023-02-05,1.0,55.85,49.88,22446.0,5.97,2686.5,10.69,9.0,
Gamma_Co,Electronics,Delivered,Yes,816,2022-09-29,2022-10-15,16.0,48.95,43.42,35430.72,5.53,4512.48,11.3,45.0,5.514705882352941
Epsilon_Group,Packaging,Delivered,Yes,343,2023-04-11,2023-04-25,14.0,44.5,38.57,13229.51,5.93,2033.99,13.33,7.0,2.0408163265306123
Gamma_Co,MRO,Delivered,No,329,2022-10-20,2022-11-05,16.0,97.87,85.35,28080.149999999998,12.52,4119.08,12.790000000000001,21.0,6.382978723404255
Alpha_Inc,Electronics,Delivered,Yes,1910,2023-03-10,2023-03-25,15.0,90.69,85.8,163878.0,4.89,9339.9,5.390000000000001,,
Epsilon_Group,MRO,Delivered,Yes,933,2023-12-15,2023-12-18,3.0,107.99,104.29,97302.57,3.7,3452.1,3.4299999999999997,29.0,3.1082529474812435
Delta_Logistics,Raw Materials,Delivered,Yes,1683,2023-07-24,2023-07-29,5.0,23.09,21.88,36824.04,1.21,2036.43,5.24,253.0,15.032679738562091
Beta_Supplies,Packaging,Pending,Yes,247,2023-11-09,2023-11-18,9.0,84.11,71.97,17776.59,12.14,2998.58,14.430000000000001,,
Alpha_Inc,MRO,Delivered,Yes,1031,2023-05-14,2023-06-02,19.0,102.01,98.65,101708.15000000001,3.36,3464.16,3.29,,
Alpha_Inc,Packaging,Delivered,Yes,1980,2022-06-08,2022-06-19,11.0,26.97,24.16,47836.8,2.81,5563.8,10.42,41.0,2.070707070707071
Epsilon_Group,Raw Materials,Delivered,Yes,1584,2022-07-14,2022-08-03,20.0,16.46,14.2,22492.8,2.26,3579.84,13.73,57.0,3.5984848484848486
Beta_Supplies,Office Supplies,Delivered,Yes,801,2022-10-31,2022-11-15,15.0,80.15,70.91,56798.909999999996,9.24,7401.24,11.53,,
Beta_Supplies,Packaging,Delivered,Yes,193,2022-08-11,2022-08-25,14.0,63.86,57.46,11089.78,6.4,1235.2,10.02,,
Beta_Supplies,Raw Materials,Delivered,Yes,658,2022-03-01,2022-03-05,4.0,86.62,79.85,52541.299999999996,6.77,4454.66,7.82,72.0,10.94224924012158
Epsilon_Group,Electronics,Delivered,Yes,1274,2023-08-17,2023-09-04,18.0,24.72,23.36,29760.64,1.36,1732.64,5.5,37.0,2.904238618524333
Epsilon_Group,Packaging,Partially Delivered,Yes,1197,2023-07-10,2023-07-17,7.0,88.92,78.82,94347.54,10.1,12089.7,11.360000000000001,31.0,
Gamma_Co,Electronics,Delivered,Yes,236,2022-03-04,2022-03-12,8.0,28.43,28.11,6633.96,0.32,75.52,1.13,11.0,4.661016949152542
Gamma_Co,Raw Materials,Partially Delivered,Yes,1399,2022-11-18,2022-12-03,15.0,25.97,22.19,31043.81,3.78,5288.22,14.56,62.0,
Gamma_Co,Electronics,Delivered,Yes,513,2022-02-28,2022-03-04,4.0,24.91,22.58,11583.539999999999,2.33,1195.29,9.35,29.0,5.653021442495127
Delta_Logistics,MRO,Delivered,Yes,1422,2022-02-21,2022-03-04,11.0,83.73,76.47,108740.34,7.26,10323.72,8.67,198.0,13.924050632911392
Alpha_Inc,Office Supplies,Delivered,Yes,1844,2023-08-22,2023-09-03,12.0,76.51,73.05,134704.19999999998,3.46,6380.24,4.52,,
Gamma_Co,Electronics,Delivered,Yes,709,2023-05-04,,,61.64,54.55,38675.95,7.09,5026.81,11.5,41.0,
Delta_Logistics,MRO,Delivered,No,813,2023-05-30,2023-06-15,16.0,45.68,41.78,33967.14,3.9,3170.7,8.540000000000001,,
Delta_Logistics,Office Supplies,Delivered,No,1004,2023-06-28,2023-07-01,3.0,96.51,92.9,93271.6,3.61,3624.44,3.74,146.0,14.54183266932271
Epsilon_Group,Raw Materials,Delivered,Yes,452,2022-06-11,2022-06-15,4.0,46.45,40.39,18256.28,6.06,2739.12,13.05,9.0,1.991150442477876
Beta_Supplies,Raw Materials,Pending,Yes,1419,2022-02-28,2022-03-12,12.0,83.91,71.46,101401.73999999999,12.45,17666.55,14.84,137.0,
Beta_Supplies,Packaging,Delivered,No,1584,2023-06-05,2023-06-23,18.0,53.73,51.92,82241.28,1.81,2867.04,3.37,167.0,10.542929292929292
Gamma_Co,MRO,Pending,Yes,196,2022-03-24,2022-04-11,18.0,44.36,43.81,8586.76,0.55,107.8,1.24,6.0,
Alpha_Inc,Office Supplies,Delivered,Yes,1221,2022-07-10,2022-07-14,4.0,53.19,46.18,56385.78,7.01,8559.21,13.18,29.0,2.375102375102375
Alpha_Inc,Packaging,Delivered,Yes,913,2022-03-12,2022-03-26,14.0,37.5,36.2,33050.600000000006,1.3,1186.9,3.47,,
Alpha_Inc,Packaging,Delivered,Yes,1784,2023-09-02,2023-09-04,2.0,85.01,76.69,136814.96,8.32,14842.88,9.790000000000001,37.0,2.0739910313901344
Delta_Logistics,Raw Materials,Delivered,Yes,1893,2022-03-11,,,55.8,52.35,99098.55,3.45,6530.85,6.18,,
Delta_Logistics,Electronics,Pending,No,538,2023-11-23,2023-12-05,12.0,34.3,32.25,17350.5,2.05,1102.9,5.9799999999999995,84.0,
Delta_Logistics,Office Supplies,Pending,No,978,2022-08-29,2022-09-15,17.0,94.15,87.7,85770.6,6.45,6308.1,6.8500000000000005,149.0,
Epsilon_Group,Raw Materials,Cancelled,Yes,1713,2023-02-18,2023-03-06,16.0,47.45,42.05,72031.65,5.4,9250.2,11.379999999999999,53.0,
Delta_Logistics,Raw Materials,Pending,No,600,2022-05-03,2022-05-07,4.0,60.1,57.92,34752.0,2.18,1308.0,3.63,95.0,
Alpha_Inc,Electronics,Pending,Yes,387,2023-08-07,2023-08-25,18.0,100.28,85.54,33103.98,14.74,5704.38,14.7,5.0,
Alpha_Inc,MRO,Pending,Yes,921,2022-09-10,2022-09-19,9.0,68.83,59.13,54458.73,9.7,8933.7,14.09,22.0,
Beta_Supplies,MRO,Delivered,Yes,690,2023-08-16,2023-08-30,14.0,22.47,21.94,15138.6,0.53,365.7,2.36,77.0,11.159420289855072
Alpha_Inc,Office Supplies,Cancelled,Yes,1852,2023-09-01,2023-09-21,20.0,104.04,94.89,175736.28,9.15,16945.8,8.790000000000001,36.0,
Delta_Logistics,Electronics,Delivered,Yes,522,2022-02-10,2022-02-28,18.0,66.83,58.01,30281.219999999998,8.82,4604.04,13.200000000000001,74.0,14.17624521072797
Delta_Logistics,Electronics,Delivered,Yes,200,2023-09-27,2023-10-06,9.0,44.16,43.13,8626.0,1.03,206.0,2.33,21.0,10.5
Gamma_Co,Packaging,Delivered,Yes,1488,2022-03-25,2022-04-03,9.0,22.76,21.99,32721.12,0.77,1145.76,3.38,,
Epsilon_Group,Electronics,Delivered,Yes,1371,2023-03-06,2023-03-16,10.0,87.16,78.13,107116.23,9.03,12380.13,10.36,43.0,3.1363967906637495
Alpha_Inc,Office Supplies,Delivered,Yes,1684,2023-11-05,,,73.05,62.53,105300.52,10.52,17715.68,14.399999999999999,,
Epsilon_Group,Electronics,Delivered,Yes,312,2023-08-21,2023-08-27,6.0,63.52,58.09,18124.08,5.43,1694.16,8.55,,
Alpha_Inc,Packaging,Cancelled,Yes,1837,2023-08-02,2023-08-21,19.0,99.04,86.51,158918.87,12.53,23017.61,12.65,39.0,
Beta_Supplies,MRO,Delivered,Yes,193,2023-06-20,2023-06-23,3.0,87.86,81.74,15775.82,6.12,1181.16,6.97,21.0,10.880829015544041
Beta_Supplies,Electronics,Delivered,Yes,395,2022-11-20,2022-11-21,1.0,24.83,23.96,9464.2,0.87,343.65,3.5000000000000004,31.0,7.848101265822785
